9692,13,24,LOSS
9692,20,18,LOSS
9692,10,15,WIN
9692,14,26,LOSS
9692,10,22,LOSS
9692,12,11,LOSS
9692,15,21,WIN
9692,9,14,WIN
9692,6,20,WIN
9692,17,20,WIN
9692,14,22,LOSS
9692,19,17,LOSS
9692,13,19,WIN
9692,6,27,LOSS
9692,20,27,LOSS
9692,18,22,LOSS
9692,20,19,LOSS
9692,15,25,LOSS
9692,19,21,WIN
9692,15,21,WIN
9692,17,29,LOSS
9692,17,16,LOSS
9692,12,26,LOSS
9692,14,26,LOSS
9692,12,22,LOSS
9692,13,26,LOSS
9692,15,15,LOSS
9692,20,21,WIN
9692,16,23,LOSS
9692,20,30,LOSS
9692,15,23,LOSS
9692,18,24,LOSS
9692,13,23,LOSS
9692,17,28,LOSS
9692,20,22,LOSS
9692,17,25,LOSS
9692,8,30,LOSS
9692,19,21,WIN
9692,15,22,LOSS
9692,16,19,WIN
9692,19,29,LOSS
9692,15,28,LOSS
9692,15,16,WIN
9692,18,22,LOSS
9692,16,23,LOSS
9692,19,22,LOSS
9692,18,23,LOSS
9692,15,24,LOSS
9692,15,22,LOSS
4666,9,21,WIN
4666,14,27,LOSS
4666,11,24,LOSS
4666,12,22,LOSS
4666,12,13,WIN
4666,16,26,LOSS
4666,19,25,LOSS
4666,17,21,WIN
4666,13,24,LOSS
4666,7,23,LOSS
4666,18,26,LOSS
4666,10,28,LOSS
4666,16,18,WIN
4666,16,30,LOSS
4666,20,23,LOSS
4666,7,24,LOSS
4666,17,27,LOSS
4666,12,13,WIN
4666,20,16,LOSS
4666,9,24,LOSS
4666,12,23,LOSS
4666,15,25,LOSS
4666,19,21,WIN
4666,13,27,LOSS
4666,13,25,LOSS
4666,13,21,WIN
4666,13,24,LOSS
4666,13,23,LOSS
4666,14,28,LOSS
4666,17,13,LOSS
4666,18,27,LOSS
4666,14,28,LOSS
4666,15,22,LOSS
4666,11,20,WIN
4666,20,23,LOSS
4666,14,21,WIN
4666,13,23,LOSS
4666,16,21,WIN
4666,12,24,LOSS
4666,12,28,LOSS
4666,18,29,LOSS
4666,20,21,WIN
4666,18,28,LOSS
4666,13,29,LOSS
4666,16,17,WIN
4666,16,22,LOSS
4666,14,15,WIN
4666,5,8,WIN
4666,14,23,LOSS
9197,18,30,LOSS
9197,20,26,LOSS
9197,4,26,LOSS
9197,14,28,LOSS
9197,17,26,LOSS
9197,20,30,LOSS
9197,14,28,LOSS
9197,20,24,LOSS
9197,14,23,LOSS
